specialty,uni_short,uni_full,bm_max,bm,applications
Будівництво та цивільна інженерія,КНУБА,Київський національний університет будівництва і архітектури,435,N/A,1185
Будівництво та цивільна інженерія,Львівська політехніка,"Національний університет ""Львівська політехніка""",319,N/A,1328
Інформаційні системи і технології,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,280,N/A,1019
Агрономія,НУБіП України,Національний університет біоресурсів і природокористування України,240,N/A,1110
Комп'ютерна інженерія,Львівська політехніка,"Національний університет ""Львівська політехніка""",230,N/A,1164
Інженерія програмного забезпечення,ХНУРЕ,Харківський національний університет радіоелектроніки,225,N/A,548
Прикладна механіка,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,223,N/A,439
"Електроніка, електронні комунікації, приладобудування та радіотехніка",КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,222,N/A,387
Інженерія програмного забезпечення,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,220,N/A,2159
Харчові технології,НУХТ,Національний університет харчових технологій,190,N/A,330
Електрична інженерія,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,190,N/A,377
Будівництво та цивільна інженерія,ОДАБА,Одеська державна академія будівництва та архітектури,182,N/A,435
Авіаційна та ракетно-космічна техніка,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,180,N/A,529
Комп'ютерна інженерія,ХНУРЕ,Харківський національний університет радіоелектроніки,170,N/A,347
Комп'ютерна інженерія,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,170,N/A,802
Кібербезпека та захист інформації,Львівська політехніка,"Національний університет ""Львівська політехніка""",169,N/A,2156
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,160,N/A,698
Архітектура та містобудування,КНУБА,Київський національний університет будівництва і архітектури,N/A,155,1099
Кібербезпека та захист інформації,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,154,N/A,1580
Терапія та реабілітація,ЛДУФК ім. Івана Боберського,Львівський державний університет фізичної культури імені Івана Боберського,152,N/A,1312
Комп'ютерні науки,Львівська політехніка,"Національний університет ""Львівська політехніка""",150,N/A,957
Комп'ютерні науки,Львівська політехніка,"Національний університет ""Львівська політехніка""",150,N/A,708
Інженерія програмного забезпечення,Львівська політехніка,"Національний університет ""Львівська політехніка""",150,N/A,1585
Біологія та біохімія,КНУТШ,Київський національний університет імені Тараса Шевченка,150,N/A,278
"Електроніка, електронні комунікації, приладобудування та радіотехніка",КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,145,N/A,280
Інженерія програмного забезпечення,"НТУ ""ХПІ""","Національний технічний університет ""Харківський політехнічний інститут""",144,N/A,512
Комп'ютерні науки,СумДУ,Сумський державний університет,141,N/A,273
Комп'ютерні науки,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,141,N/A,1194
Інженерія програмного забезпечення,Одеська політехніка,"Національний університет ""Одеська політехніка""",140,N/A,494
Морський та внутрішній водний транспорт,НУОМА,"Національний університет ""Одеська морська академія""",140,N/A,497
Комп'ютерні науки,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,140,N/A,477
Фізична культура і спорт,НУФВСУ,Національний університет фізичного виховання і спорту України,N/A,137,457
Будівництво та цивільна інженерія,НУВГП,Національний університет водного господарства та природокористування,131,N/A,459
Комп'ютерні науки,Одеська політехніка,"Національний університет ""Одеська політехніка""",130,N/A,465
